actor_id,first_name,last_name,numero_peliculas
151,GEOFFREY,HESTON,26
52,CARMEN,HUNT,26
43,KIRK,JOVOVICH,26
22,ELVIS,MARX,26
99,JIM,MOSTEL,26
73,GARY,PENN,26
78,GROUCHO,SINATRA,26
72,SEAN,WILLIAMS,26
164,HUMPHREY,WILLIS,26
118,CUBA,ALLEN,25
112,RUSSELL,BACALL,25
121,LIZA,BERGMAN,25
11,ZERO,CAGE,25
19,BOB,FAWCETT,25
131,JANE,JACKMAN,25
162,OPRAH,KILMER,25
114,MORGAN,MCDORMAND,25
38,TOM,MCKELLEN,25
61,CHRISTIAN,NEESON,25
122,SALMA,NOLTE,25
34,AUDREY,OLIVIER,25
51,GARY,PHOENIX,25
54,PENELOPE,PINKETT,25
93,ELLEN,PRESLEY,25
180,JEFF,SILVERSTONE,25
9,JOE,SWANK,25
2,NICK,WAHLBERG,25
172,GROUCHO,WILLIAMS,25
182,DEBBIE,AKROYD,24
47,JULIA,BARRYMORE,24
174,MICHAEL,BENING,24
189,CUBA,BIRCH,24
138,LUCILLE,DEE,24
89,CHARLIZE,DENCH,24
100,SPENCER,DEPP,24
46,PARKER,GOLDBERG,24
170,MENA,HOPPER,24
77,CARY,MCCONAUGHEY,24
33,MILLA,PECK,24
75,BURT,POSEY,24
24,CAMERON,STREEP,24
116,DAN,STREEP,24
67,JESSICA,BAILEY,23
32,TIM,HACKMAN,23
152,BEN,HARRIS,23
70,MICHELLE,MCCONAUGHEY,23
178,LISA,MONROE,23
193,BURT,TEMPLE,23
126,FRANCES,TOMEI,23
96,GENE,WILLIS,23
194,MERYL,ALLEN,22
3,ED,CHASE,22
4,JENNIFER,DAVIS,22
166,NICK,DEGENERES,22
109,SYLVESTER,DERN,22
10,CHRISTIAN,GABLE,22
134,GENE,HOPKINS,22
132,ADAM,HOPPER,22
18,DAN,TORN,22
156,FAY,WOOD,22
25,KEVIN,BLOOM,21
110,SUSAN,DAVIS,21
69,KENNETH,PALTROW,21
87,SPENCER,PECK,21
163,CHRISTOPHER,WEST,21
91,CHRISTOPHER,BERRY,20
160,CHRIS,DEPP,20
8,MATTHEW,JOHANSSON,20
55,FAY,KILMER,20
153,MINNIE,KILMER,20
6,BETTE,NICHOLSON,20
88,KENNETH,PESCI,20
135,RITA,REYNOLDS,20
200,THORA,TEMPLE,20
183,RUSSELL,CLOSE,19
1,PENELOPE,GUINESS,19
30,SANDRA,PECK,19
63,CAMERON,WRAY,19
71,ADAM,GRANT,18
31,SISSY,SOBIESKI,18
186,JULIA,ZELLWEGER,16
35,JUDY,DEAN,15
199,JULIA,FAWCETT,15
148,EMILY,DEE,14
